repo,stars,created_at,pushed_at,age_years,days_since_last_update,merged_prs,releases,primary_language,issues_open,issues_closed,issues_total,issues_closed_ratio
codecrafters-io/build-your-own-x,472904,2018-05-09T12:03:18Z,2026-02-21T09:34:54Z,7.82,13,155,0,Markdown,235,653,888,0.7354
sindresorhus/awesome,443130,2014-07-11T13:42:37Z,2026-03-04T16:56:28Z,11.65,2,694,0,None,16,349,365,0.9562
freeCodeCamp/freeCodeCamp,437843,2014-12-24T17:49:19Z,2026-03-06T22:38:44Z,11.2,0,27781,0,TypeScript,174,20983,21157,0.9918
public-apis/public-apis,404792,2016-03-20T23:49:42Z,2026-02-19T15:14:35Z,9.96,15,1872,0,Python,6,833,839,0.9928
EbookFoundation/free-programming-books,383681,2013-10-11T06:50:37Z,2026-03-06T17:40:11Z,12.4,0,7333,0,Python,36,1228,1264,0.9715
kamranahmedse/developer-roadmap,350330,2017-03-15T13:45:52Z,2026-03-06T15:06:44Z,8.97,0,4077,1,TypeScript,31,3056,3087,0.99
jwasham/coding-interview-university,337641,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,9.75,190,415,0,None,71,454,525,0.8648
donnemartin/system-design-primer,337639,2017-02-26T16:15:28Z,2025-11-03T12:06:22Z,9.02,123,203,0,Python,250,110,360,0.3056
vinta/awesome-python,285912,2014-06-27T21:00:06Z,2026-03-04T17:17:10Z,11.69,2,641,0,Python,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,278007,2015-06-01T02:33:17Z,2026-02-27T19:02:23Z,10.76,7,2395,1,None,0,807,807,1.0
996icu/996.ICU,275670,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,6.95,196,1072,0,None,0,0,0,0.0
openclaw/openclaw,270868,2025-11-24T10:16:47Z,2026-03-06T23:37:07Z,0.28,0,2805,59,TypeScript,5609,10148,15757,0.644
practical-tutorials/project-based-learning,260390,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,8.9,568,182,0,None,145,82,227,0.3612
facebook/react,243682,2013-05-24T16:15:54Z,2026-03-05T15:52:24Z,12.78,1,12774,118,JavaScript,811,13577,14388,0.9436
torvalds/linux,221222,2011-09-04T22:48:12Z,2026-03-06T21:55:30Z,14.5,0,0,0,C,0,0,0,0.0
TheAlgorithms/Python,218396,2016-07-16T09:44:01Z,2026-03-02T18:33:49Z,9.64,4,3046,0,Python,162,1540,1702,0.9048
vuejs/vue,209961,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,12.6,512,1136,249,TypeScript,359,9669,10028,0.9642
trimstray/the-book-of-secret-knowledge,208951,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,7.7,472,122,0,None,0,0,0,0.0
ossu/computer-science,202182,2014-05-04T00:18:39Z,2026-03-04T01:29:26Z,11.84,2,305,0,HTML,12,654,666,0.982
trekhleb/javascript-algorithms,195748,2018-03-24T07:47:04Z,2026-02-18T09:20:06Z,7.95,16,304,0,JavaScript,138,234,372,0.629
tensorflow/tensorflow,194017,2015-11-07T01:19:20Z,2026-03-06T23:41:24Z,10.33,0,42339,222,C++,894,40303,41197,0.9783
ohmyzsh/ohmyzsh,185150,2009-08-28T18:15:37Z,2026-03-06T11:09:18Z,16.52,0,3517,0,Shell,142,4892,5034,0.9718
getify/You-Dont-Know-JS,184467,2013-11-16T02:37:24Z,2026-02-15T04:36:44Z,12.3,19,370,0,None,0,949,949,1.0
